"","name","month","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","type","subtype","class","group","parent_body","parent"
47,Chelyabinsk,2,57165,Valid,LL5,1.00E+05,Fell,2013,54.81667,61.11667,"(54.81667, 61.11667)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
18,Battle Mountain,8,56133,Valid,L6,2900,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
30,Boumdeid (2011),9,57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
249,Sołtmany,4,53829,Valid,L6,1066,Fell,2011,54.00883,22.005,"(54.00883, 22.005)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
267,Thika,7,54493,Valid,L6,14200,Fell,2011,-1.00278,37.15028,"(-1.00278, 37.15028)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
108,Huaxi,7,54719,Valid,H5,1600,Fell,2010,26.46469,106.63241,"(26.46469, 106.63241)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
143,Košice,2,53810,Valid,H5,4300,Fell,2010,48.76367,21.17633,"(48.76367, 21.17633)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
154,Lorton,1,52843,Valid,L6,329.7,Fell,2010,38.70066,-77.21163,"(38.70066, -77.21163)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
168,Mason Gully,4,53653,Valid,H5,24.54,Fell,2010,0,0,"(0.0, 0.0)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
173,Mifflin,4,52090,Valid,L5,3584,Fell,2010,42.9075,-90.36556,"(42.9075, -90.36556)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
286,Varre-Sai,6,53633,Valid,L5,2500,Fell,2010,-20.85001,-41.73356,"(-20.85001, -41.73356)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
12,Ash Creek,2,48954,Valid,L6,9500,Fell,2009,31.805,-97.01,"(31.805, -97.01)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
95,Grimsby,9,50911,Valid,H5,215,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
118,Jesenice,4,51589,Valid,L6,3667,Fell,2009,46.42137,14.05217,"(46.42137, 14.05217)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
294,Whetstone Mountains,6,49514,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,"(31.96185, -110.434183)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
23,Berduc,4,48975,Valid,L6,270,Fell,2008,-31.91,-58.32833,"(-31.91, -58.32833)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
36,Buzzard Coulee,11,48654,Valid,H4,41000,Fell,2008,52.996,-109.84817,"(52.996, -109.84817)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
59,Daule,3,51559,Valid,L5,6580,Fell,2008,-1.87089,-79.95756,"(-1.87089, -79.95756)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
134,Kemer,3,53654,Valid,L4,5760,Fell,2008,36.54194,29.41822,"(36.54194, 29.41822)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
217,Pleşcoi,6,51706,Valid,L5-6,6913,Fell,2008,45.275,26.70972,"(45.275, 26.70972)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
237,Santa Lucia (2008),1,50909,Valid,L6,4000,Fell,2008,-31.535556,-68.489444,"(-31.535556, -68.489444)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
258,Sulagiri,9,48951,Valid,LL6,110000,Fell,2008,12.66667,78.03333,"(12.66667, 78.03333)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
263,Tamdakht,12,48691,Valid,H5,1.00E+05,Fell,2008,31.16333,-7.015,"(31.16333, -7.015)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
34,Bunburra Rockhole,7,48653,Valid,Eucrite,324,Fell,2007,-31.35,129.19,"(-31.35, 129.19)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
37,Cali,7,45976,Valid,H/L4,478,Fell,2007,3.405,-76.51,"(3.405, -76.51)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
41,Carancas,9,45817,Valid,H4-5,342,Fell,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
48,Chergach ,7,47347,Valid,H5,1.00E+05,Fell,2007,23.69639,-5.01472,"(23.69639, -5.01472)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
66,Didim,2,47350,Valid,H3-5,3396,Fell,2007,37.35172,27.32997,"(37.35172, 27.32997)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
161,Mahadevpur,2,47361,Valid,H4/5,70500,Fell,2007,27.66667,95.78333,"(27.66667, 95.78333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
220,Puerto Lápice,5,45984,Valid,Eucrite-br,500,Fell,2007,39.35,-3.51667,"(39.35, -3.51667)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
227,Red Canyon Lake,8,53502,Valid,H5,18.41,Fell,2007,38.13742,-119.75812,"(38.13742, -119.75812)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
16,Bassikounou,10,44876,Valid,H5,29560,Fell,2006,15.78333,-5.9,"(15.78333, -5.9)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
121,Jodiya,7,47362,Valid,L5,100,Fell,2006,22.68,70.31333,"(22.68, 70.31333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
291,Werdama,5,47344,Valid,H5,4000,Fell,2006,32.79732,21.78713,"(32.79732, 21.78713)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
20,Benguerir,11,30443,Valid,LL6,25000,Fell,2004,32.25,-8.15,"(32.25, -8.15)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
24,Berthoud,10,47355,Valid,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
129,Kaprada,10,47357,Valid,L5/6,1600,Fell,2004,20.33916,73.22329,"(20.33916, 73.22329)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
162,Maigatari-Danduma,8,30751,Valid,H5/6,4629,Fell,2004,12.83333,9.38333,"(12.83333, 9.38333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
198,Orlando,11,34489,Valid,Eucrite,180,Fell,2004,28.5475,-81.36222,"(28.5475, -81.36222)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
288,Villalbeto de la Peña,1,24179,Valid,L6,3500,Fell,2004,42.8,-4.66667,"(42.8, -4.66667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
29,Boumdeid (2003),9,57168,Valid,L6,190,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
104,Hiroshima,2,11889,Valid,H5,414,Fell,2003,34.45,132.38333,"(34.45, 132.38333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
105,Hoima,3,44714,Valid,H6,167.7,Fell,2003,1.345,31.47278,"(1.345, 31.47278)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
132,Kasauli,11,30740,Valid,H4,16820,Fell,2003,29.58333,77.58333,"(29.58333, 77.58333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
135,Kendrapara,9,12276,Valid,H4-5,6669.2,Fell,2003,20.4625,86.70278,"(20.4625, 86.70278)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
189,New Orleans,9,16960,Valid,H5,19256,Fell,2003,29.94718,-90.10976,"(29.94718, -90.10976)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
199,Ouadangou,11,56729,Valid,L5,4440,Fell,2003,12.9,0.08,"(12.9, 0.08)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
201,Oum Dreyga,10,31282,Valid,H3-5,17000,Fell,2003,24.3,-13.1,"(24.3, -13.1)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
206,Park Forest,3,18106,Valid,L5,18000,Fell,2003,41.48472,-87.67917,"(41.48472, -87.67917)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
5,Alby sur Chéran,2,458,Valid,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.82133, 6.01533)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
22,Bensour,2,5024,Valid,LL6,45000,Fell,2002,30,-7,"(30.0, -7.0)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
25,Bhawad,6,36591,Valid,LL6,678,Fell,2002,26.50833,73.11528,"(26.50833, 73.11528)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
139,Kilabo,7,12307,Valid,LL6,19000,Fell,2002,12.76667,9.8,"(12.76667, 9.8)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
166,Maromandia,7,15430,Valid,L6,6000,Fell,2002,-14.2,48.1,"(-14.2, 48.1)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
234,San Michele,2,31315,Valid,L6,237,Fell,2002,43.66667,13,"(43.66667, 13.0)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
268,Thuathe,7,23976,Valid,H4/5,45300,Fell,2002,-29.33333,27.58333,"(-29.33333, 27.58333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
4,Al Zarnkh,2,447,Valid,LL5,700,Fell,2001,13.66033,28.96,"(13.66033, 28.96)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
21,Beni M'hira,1,5018,Valid,L6,19000,Fell,2001,32.86667,10.8,"(32.86667, 10.8)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
61,Dergaon,3,6664,Valid,H5,12500,Fell,2001,26.68333,93.86667,"(26.68333, 93.86667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
63,Devgaon,2,6694,Valid,H3.8,12000,Fell,2001,19,81,"(19.0, 81.0)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
88,Gasseltepaoua,8,10866,Valid,H5,NA,Fell,2000,14.15083,-2.04167,"(14.15083, -2.04167)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
181,Morávka,5,16742,Valid,H5,633,Fell,2000,49.6,18.53333,"(49.6, 18.53333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
301,Yafa,7,24351,Valid,H5,5700,Fell,2000,13.71111,45.17,"(13.71111, 45.17)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
26,Bilanga,10,5045,Valid,Diogenite,25000,Fell,1999,12.45,-0.08333,"(12.45, -0.08333)",Stony,Achondrites,Asteroidal achondrites,Diogenite,4vesta,4vesta
69,Djoumine,10,7657,Valid,H5-6,10000,Fell,1999,36.95,9.55,"(36.95, 9.55)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
73,Dunbogan,12,7743,Valid,L6,30,Fell,1999,-31.66667,152.83333,"(-31.66667, 152.83333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
133,Katagum,9,35465,Valid,L6,1500,Fell,1999,11.33333,10.08333,"(11.33333, 10.08333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
150,Leighlinbridge,11,12759,Valid,L6,271.4,Fell,1999,52.66667,-6.96667,"(52.66667, -6.96667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
229,Sabrum,4,22793,Valid,LL6,478,Fell,1999,23.08333,91.66667,"(23.08333, 91.66667)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
44,Chadong,9,5313,Valid,L6,3700,Fell,1998,28.53333,109.31667,"(28.53333, 109.31667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
58,Dashoguz,9,6604,Valid,H5,7000,Fell,1998,41.98444,59.685,"(41.98444, 59.685)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
79,Elbert,1,7822,Valid,LL6,680.5,Fell,1998,39.24667,-104.58817,"(39.24667, -104.58817)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
141,Kitchener,7,12326,Valid,L6,202.6,Fell,1998,43.38333,-80.38333,"(43.38333, -80.38333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
145,Kunya-Urgench,6,12379,Valid,H5,1100000,Fell,1998,42.25,59.2,"(42.25, 59.2)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
178,Monahans (1998),3,16719,Valid,H5,2587,Fell,1998,31.60833,-102.85833,"(31.60833, -102.85833)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
202,Ourique,12,18052,Valid,H4,20000,Fell,1998,37.60833,-8.28,"(37.60833, -8.28)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
218,Portales Valley,6,18874,Valid,H6,71400,Fell,1998,34.175,-103.295,"(34.175, -103.295)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
305,Zag,8,30384,Valid,H3-6,175000,Fell,1998,27.33333,-9.33333,"(27.33333, -9.33333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
123,Juancheng,2,12203,Valid,H5,1.00E+05,Fell,1997,35.5,115.41667,"(35.5, 115.41667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
290,Vissannapeta,12,24188,Valid,Eucrite-cm,1303.8,Fell,1997,16.83333,80.75,"(16.83333, 80.75)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
297,Worden,9,24337,Valid,L5,1551,Fell,1997,42.38467,-83.6115,"(42.38467, -83.6115)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
82,Fermo,9,10091,Valid,H3-5,10200,Fell,1996,43.18111,13.75333,"(43.18111, 13.75333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
96,Guangmingshan,12,11435,Valid,H5,2910,Fell,1996,39.80417,122.76389,"(39.80417, 122.76389)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
216,Piplia Kalan,6,18831,Valid,Eucrite-mmict,42000,Fell,1996,26.03472,73.94167,"(26.03472, 73.94167)",Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
275,Tsukuba,1,24059,Valid,H5-6,800,Fell,1996,36.06333,140.145,"(36.06333, 140.145)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
277,Turtle Lake,10,47343,Valid,L5,89.3,Fell,1996,45.34583,-92.05167,"(45.34583, -92.05167)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
84,Galkiv,1,10850,Valid,H4,5000,Fell,1995,51.68333,30.78333,"(51.68333, 30.78333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
186,Neagari,2,16934,Valid,L6,420,Fell,1995,36.44917,136.46528,"(36.44917, 136.46528)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
214,Pétèlkolé,4,18800,Valid,H5,189,Fell,1995,14.052,0.42,"(14.052, 0.42)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
245,Silao,3,23594,Valid,H5,1710,Fell,1995,20.93333,-101.38333,"(20.93333, -101.38333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
261,Talampaya,6,23791,Valid,Eucrite-cm,1421,Fell,1995,NA,NA,,Stony,Achondrites,Asteroidal achondrites,Eucrite,4vesta,4vesta
17,Baszkówka,8,4957,Valid,L5,15500,Fell,1994,52.03333,20.93583,"(52.03333, 20.93583)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
55,Coleman,10,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778,"(43.76111, -84.50778)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
64,Devri-Khera,10,6696,Valid,L6,1140,Fell,1994,24.225,76.525,"(24.225, 76.525)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
153,Lohawat,10,14678,Valid,Howardite,40000,Fell,1994,26.96556,72.62667,"(26.96556, 72.62667)",Stony,Achondrites,Asteroidal achondrites,Howardite,4vesta,4vesta
188,New Halfa,11,16954,Valid,L4,12000,Fell,1994,15.36667,35.68333,"(15.36667, 35.68333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
255,St-Robert,6,23733,Valid,H5,25400,Fell,1994,45.96861,-72.97806,"(45.96861, -72.97806)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
78,El Tigre,12,7819,Valid,L6,5000,Fell,1993,19.96722,-103.05167,"(19.96722, -103.05167)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
240,Senboku,6,23496,Valid,H6,866,Fell,1993,39.43833,140.51167,"(39.43833, 140.51167)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
250,Songyuan,8,23668,Valid,L6,36900,Fell,1993,45.25,125,"(45.25, 125.0)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
169,Mbale,8,15455,Valid,L5/6,150000,Fell,1992,1.06667,34.16667,"(1.06667, 34.16667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
174,Mihonoseki,12,16635,Valid,L6,6380,Fell,1992,35.56833,133.22,"(35.56833, 133.22)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
213,Peekskill,10,18782,Valid,H6,12570,Fell,1992,41.28333,-73.91667,"(41.28333, -73.91667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
38,Campos Sales,1,5249,Valid,L5,23680,Fell,1991,-7.03333,-40.16667,"(-7.03333, -40.16667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
91,Glatton,5,10930,Valid,L6,767,Fell,1991,52.45972,-0.3,"(52.45972, -0.3)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
182,Mount Tazerzait,8,16804,Valid,L5,110000,Fell,1991,18.7,4.8,"(18.7, 4.8)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
193,Noblesville,8,16985,Valid,H4-6,483.7,Fell,1991,40.08528,-86.055,"(40.08528, -86.055)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
260,Tahara,3,23784,Valid,H4/5,1000,Fell,1991,34.72,137.305,"(34.72, 137.305)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
35,Burnwell,9,5175,Valid,H4-an,1504,Fell,1990,37.62194,-82.23722,"(37.62194, -82.23722)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
90,Glanerbrug,4,10923,Valid,L/LL5,670,Fell,1990,52.2,6.86667,"(52.2, 6.86667)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
160,Magombedze,7,15387,Valid,H3-5,666.6,Fell,1990,-19.48333,31.65,"(-19.48333, 31.65)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
222,Quija,3,22361,Valid,H,17450,Fell,1990,44.61667,126.13333,"(44.61667, 126.13333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
304,Yanzhuang,10,30350,Valid,H6,3500,Fell,1990,24.56667,114.16667,"(24.56667, 114.16667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
19,Bawku,12,4976,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,"(11.08333, -0.18333)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
76,El Idrissia,3,7807,Valid,L6,10000,Fell,1989,34.41667,3.25,"(34.41667, 3.25)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
210,Pê,6,18179,Valid,L6,NA,Fell,1989,11.33367,-3.54217,"(11.33367, -3.54217)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
242,Sfax,10,23512,Valid,L6,7000,Fell,1989,34.75,10.71667,"(34.75, 10.71667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
247,Sivas,9,23617,Valid,H6,40000,Fell,1989,39.82467,36.13583,"(39.82467, 36.13583)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
248,Sixiangkou,8,23619,Valid,L5,630,Fell,1989,32.43333,119.86667,"(32.43333, 119.86667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
280,Uchkuduk,6,24098,Valid,L6,1000,Fell,1989,41.76667,62.51667,"(41.76667, 62.51667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
42,Ceniceros,8,5306,Valid,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.46667, -105.23333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
46,Chela,7,5338,Valid,H4,2936,Fell,1988,-3.66667,32.5,"(-3.66667, 32.5)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
203,Palca de Aparzo,9,18074,Valid,L5,1430,Fell,1988,-23.11667,-65.1,"(-23.11667, -65.1)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
272,Torino,5,24029,Valid,H6,977,Fell,1988,45.06667,7.66667,"(45.06667, 7.66667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
273,Trebbin,3,24042,Valid,LL6,1250,Fell,1988,52.21667,13.16667,"(52.21667, 13.16667)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
149,Laochenzhen,2,12466,Valid,H5,14250,Fell,1987,33.13333,115.16667,"(33.13333, 115.16667)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
142,Kokubunji,7,12342,Valid,L6,11510,Fell,1986,34.3,133.95,"(34.3, 133.95)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
148,Lanxi,6,12464,Valid,L6,1282,Fell,1986,46.24167,126.19611,"(46.24167, 126.19611)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
200,Oued el Hadjar,3,18050,Valid,LL6,1215.5,Fell,1986,30.18,-6.57717,"(30.18, -6.57717)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
257,Suizhou,4,23738,Valid,L6,260000,Fell,1986,31.61667,113.46667,"(31.61667, 113.46667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
269,Tianzhang,1,23984,Valid,H5,2232,Fell,1986,32.94667,118.99,"(32.94667, 118.99)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
283,Undulung,9,24121,Valid,L4,113.4,Fell,1986,66.13889,124.76667,"(66.13889, 124.76667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
298,Wuan,7,24340,Valid,H6,50000,Fell,1986,36.75,114.25,"(36.75, 114.25)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
147,La Criolla,1,12396,Valid,L6,45000,Fell,1985,-31.23333,-58.16667,"(-31.23333, -58.16667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
232,Salzwedel,11,23114,Valid,LL5,43,Fell,1985,52.75,11.05,"(52.75, 11.05)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
9,Aomori,6,2313,Valid,L6,320,Fell,1984,40.81056,140.78556,"(40.81056, 140.78556)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
27,Binningup,9,5051,Valid,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.15639, 115.67639)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
54,Claxton,12,5374,Valid,L6,1455,Fell,1984,32.1025,-81.87278,"(32.1025, -81.87278)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
87,Gashua,4,44882,Valid,L6,4162,Fell,1984,12.85,11.03333,"(12.85, 11.03333)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
124,Jumapalo,3,12209,Valid,L6,32490,Fell,1984,-7.71667,111.2,"(-7.71667, 111.2)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
184,Nantong,6,16907,Valid,H6,529,Fell,1984,32.11667,121.8,"(32.11667, 121.8)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
271,Tomiya,8,24024,Valid,H4/5,27.5,Fell,1984,38.36667,140.86556,"(38.36667, 140.86556)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
307,Zaoyang,10,30391,Valid,H5,14250,Fell,1984,32.3,112.75,"(32.3, 112.75)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
309,Zhaodong,10,30404,Valid,L4,42000,Fell,1984,45.81667,125.91667,"(45.81667, 125.91667)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
97,Guangnan,2,11436,Valid,L6,NA,Fell,1983,24.1,105,"(24.1, 105.0)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
136,Kidairat,1,12300,Valid,H6,1.00E+05,Fell,1983,14,28,"(14.0, 28.0)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
167,Maryville,1,15436,Valid,L6,1443,Fell,1983,35.8,-84.1,"(35.8, -84.1)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
224,Rahimyar Khan,12,31302,Valid,L5,67225,Fell,1983,28.225,70.2,"(28.225, 70.2)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
100,Gujargaon,9,11448,Valid,H5,2449,Fell,1982,22.98333,76.05,"(22.98333, 76.05)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
221,Qidong,7,18907,Valid,L/LL5,1275,Fell,1982,32.08333,121.5,"(32.08333, 121.5)",Stony,Chondrites,Ordinary chondrite,LL,itokawa,itokawa
293,Wethersfield (1982),11,24251,Valid,L6,2756,Fell,1982,41.71056,-72.67361,"(41.71056, -72.67361)",Stony,Chondrites,Ordinary chondrite,L,8flora,8flora
50,Chiang Khan,11,5345,Valid,H6,367,Fell,1981,17.9,101.63333,"(17.9, 101.63333)",Stony,Chondrites,Ordinary chondrite,H,6hebe,hebe
